INSTNM,CITY,STABBR,CONTROL,REGION,ADM_RATE,SAT_AVG,PCTPELL,C150_4,RET_FT4,PCTFLOAN,DEBT_MDN,LOAN_EVER,MD_FAMINC,MD_EARN,LOCALE,CCBASIC,CCUGPROF,CCSIZSET,COSTT4,cost_to_earnings,SIZE,SETTING,FTIME,SEL,TRNS
Alabama A & M University,Normal,AL,Public,Southeast,0.4726,851.0,0.5418,0.2875,0.6877,0.6991,9881.0,0.9239649682,25341.5,32600.0,City: Midsize,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, lower transfer-in","medium, highly residential",13242.0,0.4061963190184049,medium,highly residential,full-time,inclusive,lower transfer-in
University of Alabama at Birmingham,Birmingham,AL,Public,Southeast,0.8357,1107.0,0.2496,0.3958,0.8156,0.4493,8125.0,0.9162048326,36355.0,42800.0,City: Midsize,Doctoral Universities: Very High Research Activity,"medium full-time, selective, higher transfer-in","large, primarily nonresidential",16955.0,0.3961448598130841,large,primarily nonresidential,medium full-time,selective,higher transfer-in
Amridge University,Montgomery,AL,Private nonprofit,Southeast,0.875,,0.4747,0.0,1.0,0.7022,9500.0,0.9371069182,24086.0,39000.0,City: Midsize,Master's Colleges & Universities: Small Programs,higher part-time,"very small, primarily nonresidential",20100.0,0.5153846153846153,very small,primarily nonresidential,higher part-time,,
University of Alabama in Huntsville,Huntsville,AL,Public,Southeast,0.7209,1145.0,0.2342,0.4755,0.7556,0.4258,8608.0,0.9201091193,35039.0,48300.0,City: Midsize,Doctoral Universities: Very High Research Activity,"full-time, more selective, higher transfer-in","medium, primarily residential",16876.0,0.34939958592132503,medium,primarily residential,full-time,more selective,higher transfer-in
Alabama State University,Montgomery,AL,Public,Southeast,0.4625,805.0,0.6953,0.2174,0.5335,0.8514,8203.5,0.9395458567,21500.0,27600.0,City: Midsize,Doctoral/Professional Universities,"full-time, inclusive, lower transfer-in","medium, highly residential",14000.0,0.5072463768115942,medium,highly residential,full-time,inclusive,lower transfer-in
The University of Alabama,Tuscaloosa,AL,Public,Southeast,0.587,1122.0,0.1723,0.6593,0.8349,0.3109,11437.5,0.9410714286,56982.5,43100.0,City: Midsize,Doctoral Universities: Very High Research Activity,"full-time, selective, lower transfer-in","large, primarily residential",20496.0,0.4755452436194896,large,primarily residential,full-time,selective,lower transfer-in
Athens State University,Athens,AL,Public,Southeast,,,0.3466,,,0.5256,9666.0,0.8378378378,28070.0,42100.0,Town: Fringe,Baccalaureate Colleges: Diverse Fields,higher part-time,"small, primarily nonresidential",,,small,primarily nonresidential,higher part-time,,
Auburn University at Montgomery,Montgomery,AL,Public,Southeast,0.9492,970.0,0.2967,0.2771,0.5772,0.4907,6645.0,0.9229033471,25497.0,36100.0,City: Midsize,Master's Colleges & Universities: Larger Programs,"medium full-time, inclusive, higher transfer-in","medium, primarily residential",13372.0,0.37041551246537396,medium,primarily residential,medium full-time,inclusive,higher transfer-in
Auburn University,Auburn,AL,Public,Southeast,0.795,1184.0,0.1302,0.6709,0.8618,0.4281,11000.0,0.9326887997,69925.0,47700.0,City: Small,Doctoral Universities: Very High Research Activity,"full-time, more selective, lower transfer-in","large, primarily nonresidential",17966.0,0.3766457023060797,large,primarily nonresidential,full-time,more selective,lower transfer-in
Birmingham-Southern College,Birmingham,AL,Private nonprofit,Southeast,0.5871,1162.0,0.1693,0.7203,0.8093,0.4129,11625.0,0.969858156,64360.5,46800.0,City: Midsize,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, selective, lower transfer-in","small, highly residential",36504.0,0.78,small,highly residential,full-time,selective,lower transfer-in
South University-Montgomery,Montgomery,AL,Private for-profit,Southeast,0.8855,,0.6828,0.3333,0.45,0.8143,6334.0,0.926376399,18367.0,31200.0,City: Midsize,Baccalaureate Colleges: Diverse Fields,"medium full-time, inclusive, higher transfer-in","very small, primarily nonresidential",25633.0,0.8215705128205129,very small,primarily nonresidential,medium full-time,inclusive,higher transfer-in
Faulkner University,Montgomery,AL,Private nonprofit,Southeast,0.5826,973.0,0.484,0.3522,0.6926,0.8147,10000.0,0.9442523768,22378.0,39400.0,City: Midsize,Master's Colleges & Universities: Larger Programs,"medium full-time, inclusive, higher transfer-in","small, primarily residential",22955.0,0.5826142131979696,small,primarily residential,medium full-time,inclusive,higher transfer-in
Huntingdon College,Montgomery,AL,Private nonprofit,Southeast,0.6652,1012.0,0.1931,0.4581,0.6324,0.6227,9500.0,0.9308357349,45628.5,39100.0,City: Midsize,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, lower transfer-in","very small, highly residential",28842.0,0.7376470588235294,very small,highly residential,full-time,inclusive,lower transfer-in
Jacksonville State University,Jacksonville,AL,Public,Southeast,0.8763,925.0,0.3689,0.3496,0.6806,0.6192,7500.0,0.9197982346,29783.0,38000.0,Suburb: Small,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","medium, primarily residential",15280.0,0.40210526315789474,medium,primarily residential,full-time,inclusive,higher transfer-in
University of West Alabama,Livingston,AL,Public,Southeast,0.6208,1190.0,0.4299,0.3438,0.6548,0.5594,6583.5,0.9224860335,20718.0,37700.0,Rural: Remote,Master's Colleges & Universities: Larger Programs,"medium full-time, inclusive, higher transfer-in","medium, primarily residential",13621.0,0.36129973474801064,medium,primarily residential,medium full-time,inclusive,higher transfer-in
Miles College,Fairfield,AL,Private nonprofit,Southeast,,,0.7812,0.2075,0.7401,0.9145,8500.0,0.9593771158,19235.0,26600.0,Suburb: Large,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, lower transfer-in","small, highly residential",14506.0,0.5453383458646617,small,highly residential,full-time,inclusive,lower transfer-in
University of Mobile,Mobile,AL,Private nonprofit,Southeast,0.7764,1028.0,0.3783,0.6165,0.7247,0.7271,12500.0,0.9516648765,32598.0,40300.0,Rural: Fringe,Master's Colleges & Universities: Small Programs,"full-time, selective, higher transfer-in","small, highly residential",26345.0,0.6537220843672457,small,highly residential,full-time,selective,higher transfer-in
University of Montevallo,Montevallo,AL,Public,Southeast,0.685,1050.0,0.2858,0.4459,0.787,0.5054,9430.5,0.9151823579,38693.0,35000.0,Suburb: Large,Master's Colleges & Universities: Medium Programs,"full-time, inclusive, higher transfer-in","small, highly residential",14663.0,0.4189428571428571,small,highly residential,full-time,inclusive,higher transfer-in
University of North Alabama,Florence,AL,Public,Southeast,0.8227,988.0,0.3013,0.3967,0.7095,0.4002,6500.0,0.8737391304,33714.0,37400.0,City: Small,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","medium, primarily residential",11725.0,0.3135026737967914,medium,primarily residential,full-time,inclusive,higher transfer-in
Oakwood University,Huntsville,AL,Private nonprofit,Southeast,0.5611,890.0,0.4047,0.4015,0.7237,0.6481,9875.0,0.9432485323,40652.5,35900.0,City: Midsize,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, inclusive, lower transfer-in","small, highly residential",30842.0,0.859108635097493,small,highly residential,full-time,inclusive,lower transfer-in
Samford University,Birmingham,AL,Private nonprofit,Southeast,0.8352,1140.0,0.1113,0.7405,0.822,0.3817,11625.0,0.9482936918,70000.0,45900.0,Suburb: Large,Doctoral/Professional Universities,"full-time, selective, lower transfer-in","medium, highly residential",31214.0,0.6800435729847495,medium,highly residential,full-time,selective,lower transfer-in
University of South Alabama,Mobile,AL,Public,Southeast,0.8965,990.0,0.2535,0.3703,0.6708,0.4399,6750.0,0.9104173736,31700.5,39600.0,City: Midsize,Doctoral Universities: High Research Activity,"full-time, selective, higher transfer-in","large, primarily residential",13581.0,0.34295454545454546,large,primarily residential,full-time,selective,higher transfer-in
Spring Hill College,Mobile,AL,Private nonprofit,Southeast,0.5501,1084.0,0.2602,0.6071,0.7755,0.6381,14625.5,0.9597615499,54395.0,41900.0,City: Midsize,Baccalaureate Colleges: Diverse Fields,"full-time, selective, lower transfer-in","small, highly residential",36565.0,0.8726730310262529,small,highly residential,full-time,selective,lower transfer-in
Stillman College,Tuscaloosa,AL,Private nonprofit,Southeast,0.4366,847.0,0.7853,0.2063,0.5464,0.8779,10000.0,0.9489904357,22038.0,28500.0,City: Midsize,Baccalaureate Colleges: Diverse Fields,"full-time, selective, higher transfer-in","very small, highly residential",22006.0,0.772140350877193,very small,highly residential,full-time,selective,higher transfer-in
Talladega College,Talladega,AL,Private nonprofit,Southeast,,,0.6073,0.2207,0.5357,0.3677,9500.0,0.8485477178,18004.5,32300.0,Town: Distant,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, higher transfer-in","small, highly residential",15900.0,0.49226006191950467,small,highly residential,full-time,inclusive,higher transfer-in
Troy University,Troy,AL,Public,Southeast,0.6624,970.0,0.3357,0.3702,0.7187,0.5086,6607.0,0.9219388589,22776.5,39700.0,Town: Remote,Master's Colleges & Universities: Larger Programs,"medium full-time, inclusive, higher transfer-in","large, primarily nonresidential",13855.0,0.348992443324937,large,primarily nonresidential,medium full-time,inclusive,higher transfer-in
Tuskegee University,Tuskegee,AL,Private nonprofit,Southeast,0.5898,906.0,0.5356,0.4053,0.6501,0.7887,11500.0,0.9603283174,32358.5,36200.0,Town: Distant,Master's Colleges & Universities: Medium Programs,"full-time, inclusive, lower transfer-in","small, highly residential",27570.0,0.7616022099447514,small,highly residential,full-time,inclusive,lower transfer-in
University of Alaska Anchorage,Anchorage,AK,Public,Far West,0.7248,960.0,0.1342,0.2531,0.7335,0.245,5500.0,0.806402439,32710.0,38800.0,City: Large,Master's Colleges & Universities: Larger Programs,higher part-time,"medium, primarily nonresidential",12731.0,0.3281185567010309,medium,primarily nonresidential,higher part-time,,
University of Alaska Fairbanks,Fairbanks,AK,Public,Far West,0.7446,1023.0,0.1405,0.2848,0.802,0.2307,5500.0,0.8064118372,34268.0,36200.0,Suburb: Small,Doctoral Universities: High Research Activity,higher part-time,"medium, primarily nonresidential",14565.0,0.4023480662983425,medium,primarily nonresidential,higher part-time,,
